brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,seats,selling_price
Honda,City,13,90046,Petrol,Manual,17.7,1497,5,185000
Ford,Figo,10,49000,Petrol,Manual,15.6,1196,5,215000
Honda,Amaze,3,12000,Petrol,Manual,17.8,1198,5,645000
Renault,Duster,7,75000,Diesel,Manual,19.87,1461,5,585000
Mahindra,Bolero,9,100000,Diesel,Manual,15.96,2523,7,400000
Mahindra,Bolero,5,62257,Diesel,Manual,21,1498,7,680000
Maruti,Vitara,4,70000,Diesel,Manual,24.3,1248,5,750000
Mahindra,Scorpio,4,68462,Diesel,Manual,15.4,2179,7,900000
Maruti,Swift Dzire,9,70000,Petrol,Manual,17.5,1298,5,370000
Maruti,Swift,8,52000,Petrol,Manual,22,1197,5,450000
Honda,Jazz,4,10000,Petrol,Manual,18.7,1199,5,650000
Maruti,Swift Dzire,4,60000,Diesel,Automatic,28.4,1248,5,750000
Maruti,Ertiga,4,19000,Diesel,Manual,24.52,1248,7,895000
Maruti,Swift Dzire,6,38700,Diesel,Manual,26.59,1248,5,720000
Maruti,Swift Dzire,7,55000,Petrol,Manual,20.85,1197,5,500000
Honda,WR-V,4,41632,Diesel,Manual,25.5,1498,5,745000
Toyota,Innova,5,90000,Diesel,Automatic,11.36,2755,7,1775000
Hyundai,i20,5,17749,Petrol,Manual,18.6,1197,5,549000
Maruti,Baleno,3,18000,Petrol,Manual,21.4,1197,5,750000
Hyundai,Verna,6,25000,Petrol,Manual,17.43,1396,5,500000
Volkswagen,Polo,6,54985,Petrol,Manual,16.2,1199,5,480000
Ford,Ecosport,3,31668,Petrol,Automatic,14.8,1497,5,935000
Datsun,RediGO,3,16500,Petrol,Manual,22.7,799,5,290000
Toyota,Innova,13,95000,Diesel,Manual,12.99,2494,8,525000
Mahindra,XUV500,9,90000,Diesel,Manual,15.1,2179,7,611000
Ford,Figo,5,25000,Petrol,Automatic,17.01,1499,5,600000
Maruti,Wagon R,7,84000,Petrol,Manual,20.51,998,5,350000
Honda,WR-V,3,19000,Petrol,Manual,17.5,1199,5,825000
Hyundai,Grand,7,38000,Petrol,Manual,18.9,1197,5,430000
Mercedes-Benz,S-Class,4,6500,Diesel,Automatic,13.5,2987,5,8150000
Hyundai,Verna,8,48000,Petrol,Automatic,17.01,1591,5,490000
Maruti,Baleno,3,34000,Diesel,Manual,27.39,1248,5,850000
Renault,KWID,3,9800,Petrol,Automatic,24.04,999,5,415000
Maruti,Swift Dzire,3,30000,Diesel,Manual,28.4,1248,5,868000
Hyundai,Grand,6,88500,Petrol,Manual,18.9,1197,5,445000
Volkswagen,Vento,8,58212,Petrol,Manual,15.04,1598,5,400000
Audi,A6,7,52000,Diesel,Automatic,17.68,1968,5,1900000
Hyundai,i10,11,84000,Petrol,Automatic,19.2,1197,5,270000
Hyundai,i20,8,55000,Petrol,Manual,18.5,1197,5,450000
Toyota,Innova,8,173758,Diesel,Manual,12.99,2494,7,925000
BMW,3,7,50000,Diesel,Automatic,18.88,1995,5,1700000
Hyundai,Verna,2,14200,Petrol,Manual,17,1591,5,975000
Hyundai,i10,11,72000,Petrol,Manual,20.36,1197,5,211000
Toyota,Innova,10,135000,Diesel,Manual,12.99,2494,7,650000
Skoda,Octavia,4,67001,Diesel,Automatic,19.5,1968,5,1650000
Maruti,Baleno,5,72000,Petrol,Manual,21.4,1197,5,630000
Honda,City,2,2600,Petrol,Automatic,17.4,1497,5,1400000
Skoda,Rapid,8,77300,Diesel,Manual,21.14,1498,5,475000
Hyundai,Verna,9,58000,Petrol,Manual,17.01,1591,5,399000
Maruti,Alto,6,66000,Petrol,Automatic,23.95,998,5,325000
Maruti,Wagon R,9,50000,Petrol,Manual,18.9,998,5,250000
Maruti,Swift,2,14500,Petrol,Automatic,22,1197,5,720000
Maruti,Ertiga,5,48805,Diesel,Manual,24.52,1248,7,390000
Hyundai,i20,8,37000,Petrol,Manual,18.5,1197,5,395000
Maruti,Wagon R,7,40000,Petrol,Manual,20.51,998,5,400000
BMW,3,12,114000,Petrol,Automatic,12.05,1995,5,650000
Maruti,Swift,8,108000,Diesel,Manual,22.9,1248,5,485000
Honda,Jazz,3,31909,Petrol,Manual,18.7,1199,5,615000
Maruti,Swift,9,80000,Diesel,Manual,28.4,1248,5,425000
Mahindra,Bolero,6,85000,Diesel,Manual,15.96,2523,7,649000
Maruti,Ciaz,5,58400,Diesel,Manual,28.09,1248,5,728000
Hyundai,Grand,3,9800,Diesel,Manual,24,1186,5,685000
Hyundai,Verna,12,70000,Diesel,Manual,16.8,1493,5,255000
Skoda,Superb,10,20000,Diesel,Automatic,17.2,1968,5,700000
BMW,6,1,5945,Diesel,Automatic,17.09,1995,4,5750000
Toyota,Innova,11,145000,Diesel,Manual,12.99,2494,8,675000
Maruti,Vitara,3,20572,Diesel,Automatic,24.3,1248,5,950000
Maruti,Swift,5,37000,Diesel,Manual,25.2,1248,5,675000
Maruti,Ertiga,5,72447,Diesel,Manual,24.52,1248,7,850000
BMW,5,6,67000,Diesel,Automatic,14.69,2993,5,2650000
Maruti,Wagon R,5,39000,Petrol,Manual,20.51,998,5,420000
BMW,3,8,42000,Diesel,Automatic,18.88,1995,5,1355000
Datsun,GO,4,40000,Petrol,Manual,19.44,1198,7,430000
Ford,Ecosport,7,86000,Diesel,Manual,22.7,1498,5,550000
Maruti,Swift,10,32000,Petrol,Manual,18.6,1197,5,350000
Toyota,Innova,6,69000,Diesel,Manual,12.8,2494,8,925000
Hyundai,i20,8,14258,Petrol,Manual,18.6,1197,5,445000
Renault,KWID,4,17000,Petrol,Automatic,24.04,999,5,385000
Volkswagen,Vento,8,83469,Diesel,Manual,20.34,1498,5,485000
Datsun,GO,4,40000,Petrol,Manual,20.63,1198,5,335000
BMW,7,4,26000,Diesel,Automatic,17.66,2993,4,6600000
Maruti,Swift,3,20000,Petrol,Manual,22,1197,5,587000
Maruti,Celerio,6,80000,Petrol,Manual,23.1,998,5,450000
Toyota,Innova,5,76000,Diesel,Manual,12.99,2494,8,1250000
Renault,KWID,2,10695,Petrol,Manual,23.01,999,5,395000
Maruti,Vitara,3,35000,Diesel,Manual,24.3,1248,5,810000
Toyota,Innova,11,94000,Diesel,Manual,12.8,2494,8,675000
Audi,A8,9,75000,Diesel,Automatic,11.8,2967,5,2200000
Mahindra,Bolero,4,50000,Diesel,Manual,15.96,2523,9,670000
Skoda,Rapid,9,67000,Diesel,Manual,20.5,1598,5,325000
Maruti,Ciaz,6,53698,Diesel,Manual,28.09,1248,5,675000
Toyota,Innova,6,70000,Diesel,Manual,12.8,2494,7,1135000
Maruti,Swift Dzire,8,154000,Petrol,Manual,19.1,1197,5,420000
Toyota,Yaris,3,16000,Petrol,Automatic,18.1,1496,5,950000
Maruti,Eeco,7,53000,CNG,Manual,21.94,1196,5,395000
Volkswagen,Vento,11,80000,Petrol,Automatic,14.8,1598,5,350000
Hyundai,i20,6,44000,Petrol,Manual,18.6,1197,5,585000
Mahindra,Bolero,7,80000,Diesel,Manual,15.96,2523,7,480000
Hyundai,Verna,3,35522,Diesel,Manual,22,1582,5,885000
Honda,City,7,65000,Diesel,Manual,26,1498,5,745000
Maruti,Wagon R,4,24000,Petrol,Manual,20.51,998,5,450000
Hyundai,Verna,4,46000,Diesel,Manual,24.8,1396,5,765000
Hyundai,i20,3,54695,Diesel,Manual,21.19,1396,5,790000
Skoda,Superb,11,55000,Petrol,Automatic,13.7,1798,5,345000
Maruti,Baleno,3,38340,Diesel,Manual,27.39,1248,5,790000
Maruti,Swift,8,27000,Diesel,Manual,22.9,1248,5,450000
Maruti,Ertiga,7,69000,CNG,Manual,22.8,1373,7,615000
Hyundai,i10,9,66500,Petrol,Manual,19.81,1086,5,260000
Honda,City,5,27266,Petrol,Manual,17.4,1497,5,685000
Jeep,Compass,4,25216,Petrol,Automatic,16,1368,5,1450000
Hyundai,i10,5,50000,Petrol,Manual,19.81,1086,5,428000
Mahindra,KUV,5,21000,Petrol,Manual,18.15,1198,6,400000
Mercedes-Benz,GL-Class,6,53000,Diesel,Automatic,11.3,2987,7,4400000
Maruti,Ciaz,4,68000,Diesel,Manual,28.09,1248,5,750000
Land Rover,Rover,8,75000,Diesel,Automatic,13.33,2993,5,7800000
Honda,Jazz,4,27826,Petrol,Automatic,19,1199,5,725000
Honda,WR-V,3,19000,Petrol,Manual,17.5,1199,5,795000
Toyota,Innova,7,86606,Diesel,Manual,12.99,2494,7,995000
Skoda,Superb,10,83000,Diesel,Automatic,17.2,1968,5,675000
Maruti,Swift,7,35734,Petrol,Manual,21.21,1197,5,440000
Honda,Jazz,6,50000,Petrol,Automatic,19,1199,5,575000
Maruti,Alto,10,80000,Petrol,Manual,20.92,998,5,250000
Hyundai,i20,5,57000,Diesel,Manual,22.54,1396,5,650000
Toyota,Innova,7,30000,Diesel,Manual,12.99,2494,7,850000
Maruti,Swift Dzire,8,90000,Diesel,Manual,23.4,1248,5,500000
Hyundai,Grand,3,28000,Petrol,Manual,18.9,1197,5,480000
Maruti,Wagon R,5,49000,CNG,Manual,26.6,998,5,365000
BMW,5,4,31000,Diesel,Automatic,18.12,1995,5,3945000
Skoda,Rapid,5,90000,Diesel,Automatic,21.66,1498,5,550000
Hyundai,i20,11,102000,Diesel,Manual,21.9,1396,5,300000
Maruti,Swift,2,25000,Diesel,Manual,25.2,1248,5,700000
BMW,3,11,97547,Diesel,Automatic,16.07,1995,5,825000
Honda,City,6,40864,Petrol,Manual,17.4,1497,5,579000
Maruti,Wagon R,9,51000,Petrol,Manual,18.9,998,5,200000
Maruti,Wagon R,3,36274,CNG,Manual,26.6,998,5,455000
Volkswagen,Polo,7,39000,Petrol,Automatic,17.21,1197,5,565000
Maruti,Wagon R,10,50000,Petrol,Manual,20.51,998,5,275000
Honda,Jazz,5,15000,Petrol,Manual,18.7,1199,5,500000
Toyota,Innova,4,60000,Diesel,Manual,13.68,2393,7,1750000
Renault,KWID,5,50700,Petrol,Manual,23.01,999,5,340000
Tata,Tiago,2,40000,Diesel,Manual,27.28,1047,5,665000
Datsun,RediGO,5,79000,Petrol,Manual,22.7,799,5,235000
Maruti,Ertiga,9,67235,Diesel,Manual,25.47,1248,7,610000
Maruti,Swift Dzire,7,115000,Diesel,Manual,23.4,1248,5,521000
Volkswagen,Vento,6,56000,Petrol,Automatic,18.19,1197,5,615000
Hyundai,i20,3,70000,Diesel,Manual,22.54,1396,5,920000
Toyota,Innova,4,40004,Diesel,Manual,13.68,2393,8,1775000
Ford,Ecosport,8,69141,Diesel,Manual,22.7,1498,5,525000
Mercedes-Benz,E-Class,5,14000,Diesel,Automatic,16.1,1950,5,3900000
Maruti,Ciaz,5,35701,Petrol,Manual,20.73,1373,5,645000
Skoda,Superb,4,37000,Petrol,Automatic,14.67,1798,5,1975000
BMW,5,11,65000,Petrol,Automatic,10.8,2497,5,1000000
Honda,City,5,19000,Petrol,Automatic,18,1497,5,820000
Datsun,RediGO,4,75000,Petrol,Manual,22.7,799,5,285000
Jeep,Compass,3,9800,Petrol,Manual,16,1368,5,1325000
Maruti,Wagon R,4,37000,CNG,Manual,26.6,998,5,415000
Maruti,Swift Dzire,7,82500,Diesel,Manual,23.4,1248,5,425000
Maruti,Ciaz,5,33582,Petrol,Automatic,19.12,1373,5,740000
Skoda,Octavia,6,41000,Diesel,Automatic,19.3,1968,5,1110000
Maruti,Ertiga,4,24000,Petrol,Manual,19.01,1462,7,825000
Tata,Nexon,3,60000,Diesel,Manual,21.5,1497,5,725000
BMW,7,7,33000,Diesel,Automatic,16.46,2993,5,3495000
Honda,City,6,29675,Petrol,Automatic,18,1497,5,795000
Maruti,Celerio,5,14286,Petrol,Manual,23.1,998,5,395000
Hyundai,i20,3,40000,Diesel,Manual,21.9,1396,5,739000
Maruti,Swift Dzire,10,64000,Diesel,Manual,19.3,1248,5,395000
Mercedes-Benz,E-Class,9,33999,Petrol,Manual,12.3,1796,5,1350000
Maruti,Swift Dzire,8,40000,Petrol,Manual,19.1,1197,5,400000
Maruti,Swift,10,53000,Diesel,Manual,22.9,1248,5,395000
Maruti,Alto,3,23150,Petrol,Automatic,23.95,998,5,394000
Mahindra,Marazzo,3,15001,Diesel,Manual,17.3,1497,7,1375000
Toyota,Innova,6,63000,Diesel,Manual,12.99,2494,8,1200000
ISUZU,MUX,4,65029,Diesel,Automatic,13.8,2999,7,1895000
Tata,Tiago,3,32400,Petrol,Automatic,23.84,1199,5,500000
Maruti,Swift,5,61000,Diesel,Manual,28.4,1248,5,590000
Maruti,Eeco,7,41600,Petrol,Manual,15.37,1196,7,321000
Maruti,Wagon R,11,48300,Petrol,Manual,18.9,998,5,240000
Maruti,Swift Dzire,2,5000,Petrol,Manual,21.21,1197,5,745000
Toyota,Innova,8,105487,Diesel,Manual,12.99,2494,8,835000
Maruti,Swift,6,18056,Petrol,Manual,20.4,1197,5,460000
Toyota,Innova,12,200000,Diesel,Manual,12.8,2494,7,480000
Mercedes-Benz,E-Class,5,45000,Diesel,Automatic,13,2143,5,2475000
Volkswagen,Polo,7,73000,Petrol,Manual,16.47,1198,5,445000
Mahindra,Bolero,13,15000,Diesel,Manual,13.6,2523,7,250000
Toyota,Innova,2,54287,Diesel,Manual,13.68,2393,7,2190000
Tata,Hexa,3,40000,Diesel,Automatic,17.6,2179,7,1400000
BMW,5,3,43000,Diesel,Automatic,18.59,2993,5,4650000
Mercedes-Benz,C-Class,10,90000,Diesel,Automatic,14.94,2143,5,1000000
BMW,5,4,46000,Diesel,Automatic,22.48,1995,5,2850000
Hyundai,i20,8,37900,Diesel,Manual,21.9,1396,5,435000
Toyota,Camry,6,81000,Petrol,Automatic,19.16,2494,5,1725000
Maruti,Baleno,5,14550,Petrol,Manual,21.4,1197,5,559000
Maruti,Ertiga,5,41000,CNG,Manual,17.5,1373,7,780000
Maruti,Ertiga,6,78286,CNG,Manual,22.8,1373,7,650000
BMW,X1,8,102007,Diesel,Automatic,20.68,1995,5,1350000
Hyundai,Verna,3,16443,Petrol,Manual,19.1,1368,5,770000
Honda,City,2,10000,Petrol,Automatic,18,1497,5,1150000
Maruti,Wagon R,8,39757,Petrol,Manual,20.51,998,5,298000
Maruti,Vitara,3,61000,Diesel,Manual,24.3,1248,5,1025000
Mahindra,XUV500,7,85000,Diesel,Manual,15.1,2179,7,850000
Maruti,Swift Dzire,6,50000,Petrol,Manual,17.5,1298,5,460000
Maruti,Eeco,8,39600,Petrol,Manual,15.37,1196,5,300000
Hyundai,Santro,11,60000,Petrol,Manual,17.92,1086,5,160000
Maruti,Wagon R,6,52606,Petrol,Manual,18.9,998,5,370000
Audi,A4,9,68370,Diesel,Automatic,17.11,1968,5,1345000
Honda,City,6,70000,Diesel,Manual,26,1498,5,655000
Mahindra,KUV,5,30000,Diesel,Manual,25.32,1198,6,475000
Hyundai,Grand,6,80000,Diesel,Manual,24,1120,5,415000
Ford,Figo,10,73320,Diesel,Manual,20,1399,5,275000
Toyota,Innova,15,146000,Diesel,Manual,12.8,2494,7,350000
Maruti,Ertiga,5,80000,Diesel,Manual,24.52,1248,7,800000
Maruti,Swift,9,70000,Diesel,Manual,22.9,1248,5,411000
Maruti,Ciaz,7,73000,Diesel,Manual,26.21,1248,5,545000
Hyundai,i20,5,50000,Diesel,Manual,22.54,1396,5,600000
Maruti,Alto,14,17000,Petrol,Manual,19.7,796,5,145000
Hyundai,Verna,10,50000,Diesel,Manual,16.2,1493,5,325000
Maruti,Swift,7,77000,Diesel,Manual,25.2,1248,5,525000
Hyundai,i10,8,13450,Petrol,Manual,19.81,1086,5,290000
Honda,WR-V,2,23000,Diesel,Manual,25.5,1498,5,1000000
Volkswagen,Vento,7,95000,Diesel,Manual,20.54,1598,5,525000
Hyundai,i20,8,55713,Petrol,Manual,17,1197,5,350000
Maruti,Alto,10,49100,Petrol,Manual,19.7,796,5,155000
BMW,7,5,56000,Diesel,Automatic,16.46,2993,5,5385000
Hyundai,Grand,4,18500,Petrol,Automatic,18.9,1197,5,635000
Maruti,Vitara,5,51000,Diesel,Manual,24.3,1248,5,825000
Maruti,Swift Dzire,2,20000,Diesel,Automatic,28.4,1248,5,855000
Honda,Jazz,5,48000,Diesel,Manual,27.3,1498,5,550000
Skoda,Rapid,7,71000,Diesel,Automatic,21.66,1498,5,550000
Maruti,Eeco,2,34197,Petrol,Manual,16.11,1196,5,465000
Hyundai,i20,5,27000,Petrol,Manual,17,1197,5,580000
Toyota,Innova,5,72000,Diesel,Manual,13.68,2393,7,1765000
Hyundai,i20,5,50000,Petrol,Manual,17,1197,5,550000
Skoda,Superb,8,49944,Petrol,Manual,13.14,1798,5,470000
Maruti,Swift Dzire,6,12000,Petrol,Manual,19.1,1197,5,650000
Datsun,GO,5,30000,Petrol,Manual,19.44,1198,7,300000
Maruti,Baleno,5,60000,Petrol,Automatic,21.4,1197,5,600000
Maruti,Ertiga,4,35000,Diesel,Manual,24.52,1248,7,950000
Hyundai,i10,6,12450,Petrol,Manual,20.36,1197,5,395000
Hyundai,Grand,4,7500,Petrol,Manual,18.9,1197,5,495000
Maruti,Wagon R,5,15680,Petrol,Automatic,20.51,998,5,451000
Ford,Ecosport,3,15000,Petrol,Manual,17,1497,5,900000
Maruti,Swift Dzire,8,208000,Diesel,Manual,23.4,1248,5,360000
Hyundai,Grand,4,15000,Petrol,Automatic,18.9,1197,5,550000
Hyundai,Verna,8,58000,Diesel,Manual,22.32,1582,5,515000
Maruti,Swift Dzire,7,70310,Diesel,Manual,23.4,1248,5,575000
Maruti,Eeco,6,61000,CNG,Manual,20.88,1196,5,390000
Volkswagen,Polo,4,44000,Diesel,Manual,20.14,1498,5,675000
Mercedes-Benz,E-Class,14,92000,Diesel,Automatic,11,2987,5,525000
Maruti,Vitara,3,17000,Diesel,Manual,24.3,1248,5,895000
Maruti,Wagon R,10,29000,Petrol,Manual,21.79,998,5,260000
Mercedes-Benz,S-Class,10,70000,Petrol,Automatic,7.81,5461,5,2275000
Toyota,Innova,7,69000,Diesel,Manual,12.99,2494,8,1099000
Maruti,Wagon R,5,36100,CNG,Manual,26.6,998,5,414000
Maruti,Swift Dzire,4,50000,Diesel,Manual,19.3,1248,5,730000
Ford,Figo,11,114231,Petrol,Manual,15.6,1196,5,249000
Maruti,Ciaz,4,44046,Diesel,Manual,28.09,1248,5,800000
Maruti,Ertiga,7,72264,CNG,Manual,22.8,1373,7,600000
Renault,KWID,4,15000,Petrol,Manual,23.01,999,5,330000
Hyundai,Verna,9,72000,Diesel,Automatic,22.32,1582,5,521000
Maruti,Vitara,3,36000,Diesel,Manual,24.3,1248,5,800000
BMW,5,10,67512,Diesel,Automatic,18.48,1995,5,1250000
Skoda,Rapid,4,19000,Petrol,Manual,15,1598,5,725000
BMW,X3,5,35000,Diesel,Automatic,18.56,1995,5,3400000
Maruti,Alto,7,28000,CNG,Manual,33.44,796,4,281000
Volkswagen,Polo,3,17000,Petrol,Manual,18.78,999,5,635000
Mercedes-Benz,E-Class,7,54000,Diesel,Automatic,10,2148,5,1475000
Mahindra,Thar,8,60000,Diesel,Manual,16.55,2498,7,500000
Honda,Jazz,4,20000,Petrol,Automatic,19,1199,5,695000
Honda,City,10,60000,Petrol,Manual,17,1497,5,365000
Renault,KWID,3,50000,Petrol,Manual,25.17,799,5,350000
Maruti,Swift,4,64874,Diesel,Manual,25.2,1248,5,635000
Maruti,Ertiga,5,19000,Petrol,Manual,17.5,1373,7,750000
Renault,KWID,3,45000,Petrol,Manual,25.17,799,5,350000
Honda,City,7,70000,Diesel,Manual,26,1498,5,600000
Hyundai,i20,5,64000,Diesel,Manual,21.19,1396,5,695000
Volkswagen,Polo,8,55322,Petrol,Manual,16.47,1198,5,421000
Maruti,Swift Dzire,3,19000,Petrol,Manual,21.21,1197,5,741000
Skoda,Rapid,6,47000,Petrol,Manual,15,1598,5,485000
Honda,City,14,77433,Petrol,Manual,12.8,1493,5,220000
Hyundai,i20,3,16285,Petrol,Manual,18.6,1197,5,675000
Tata,Safari,9,110000,Diesel,Manual,13.93,2179,7,290000
Ford,Ecosport,7,72569,Diesel,Manual,22.7,1498,5,580000
Maruti,Ertiga,7,55000,Diesel,Manual,20.77,1248,7,500000
Maruti,Ciaz,3,35000,Petrol,Manual,20.73,1373,5,800000
Renault,KWID,4,20000,Petrol,Manual,25.17,799,5,375000
Hyundai,i20,4,43000,Petrol,Manual,18.6,1197,5,600000
Toyota,Fortuner,11,85000,Diesel,Manual,11.5,2982,7,1000000
Maruti,Swift,5,40000,Diesel,Manual,25.2,1248,5,500000
Volkswagen,Vento,10,70000,Diesel,Manual,20.54,1598,5,349000
Datsun,GO,4,40000,Petrol,Manual,19.44,1198,7,421000
Maruti,Alto,6,30000,Petrol,Manual,23.95,998,5,350000
Skoda,Superb,6,68000,Diesel,Automatic,17.2,1968,5,1275000
Honda,Amaze,6,47745,Diesel,Manual,27.4,1498,5,450000
Maruti,Eeco,4,76000,CNG,Manual,21.94,1196,5,395000
BMW,3,6,38000,Diesel,Automatic,19.59,1995,5,2250000
Hyundai,i10,10,76000,Petrol,Manual,19.81,1086,5,270000
Tata,Tiago,3,36313,Petrol,Manual,23.84,1199,5,441000
Maruti,Swift Dzire,9,56200,Diesel,Manual,23.4,1248,5,485000
Maruti,Swift Dzire,7,89000,Diesel,Manual,19.3,1248,5,565000
Maruti,Swift,15,127000,Petrol,Manual,16.1,1197,5,145000
Maruti,Ertiga,4,49000,Diesel,Manual,24.52,1248,7,925000
Maruti,Wagon R,7,35000,Petrol,Manual,20.51,998,5,370000
Maruti,Swift,6,50000,Petrol,Manual,20.4,1197,5,425000
Maruti,Swift Dzire,3,40000,Diesel,Automatic,28.4,1248,5,825000
Maruti,Alto,7,48828,Petrol,Manual,22.74,796,5,275000
Maruti,Swift,7,87600,Diesel,Manual,25.2,1248,5,465000
BMW,3,9,76728,Diesel,Automatic,22.69,1995,5,1050000
Ford,Figo,11,35000,Petrol,Manual,15.6,1196,5,275000
Hyundai,Verna,9,100000,Diesel,Manual,23.5,1396,5,485000
Renault,KWID,2,27000,Petrol,Automatic,24.04,999,5,460000
Datsun,GO,6,20000,Petrol,Manual,20.63,1198,5,250000
Maruti,Wagon R,7,56795,CNG,Manual,26.2,998,5,340000
Mahindra,Bolero,1,10000,Diesel,Manual,21,1498,7,600000
Maruti,Vitara,4,62428,Diesel,Manual,24.3,1248,5,900000
Mahindra,Scorpio,13,71000,Diesel,Manual,10.5,2609,7,390000
Honda,City,7,45000,Diesel,Manual,26,1498,5,675000
Mahindra,XUV500,9,82000,Diesel,Manual,16,2179,7,690000
Tata,Tiago,4,32000,Petrol,Manual,23.84,1199,5,465000
Hyundai,i20,4,40000,Petrol,Manual,18.6,1197,5,630000
Maruti,Alto,13,60000,Petrol,Manual,19.7,796,5,150000
Maruti,Swift,6,18914,Petrol,Manual,20.4,1197,5,500000
Volkswagen,Polo,8,49000,Diesel,Manual,22.07,1199,5,380000
Honda,Amaze,3,41000,Petrol,Automatic,18.1,1199,5,575000
Skoda,Rapid,5,74601,Diesel,Manual,21.13,1498,5,611000
Honda,Amaze,6,148000,Diesel,Manual,25.8,1498,5,501000
Hyundai,Verna,5,61000,Diesel,Automatic,19.08,1582,5,760000
Maruti,Swift Dzire,11,50000,Diesel,Manual,19.3,1248,5,300000
Renault,KWID,6,60000,Petrol,Manual,23.01,999,5,315000
Tata,Safari,7,80000,Diesel,Manual,14,2179,7,600000
Jaguar,XF,6,25000,Diesel,Automatic,14.74,2993,5,2790000
Maruti,Celerio,5,36836,Petrol,Automatic,23.1,998,5,460000
Hyundai,Verna,5,7000,Petrol,Manual,17.7,1497,5,665000
BMW,6,8,30000,Diesel,Automatic,9.52,2993,4,4100000
Hyundai,i10,10,60000,Petrol,Manual,20.36,1197,5,200000
Maruti,Swift,3,35000,Diesel,Automatic,28.4,1248,5,770000
Maruti,Alto,10,20000,Petrol,Manual,19.7,796,5,170000
Maruti,Alto,9,33700,Petrol,Manual,20.92,998,5,200000
Hyundai,i20,12,96000,Petrol,Manual,17,1197,5,275000
Maruti,Baleno,3,4933,Petrol,Manual,21.4,1197,5,710000
Audi,A4,9,52000,Diesel,Automatic,16.55,1968,5,1500000
Hyundai,Elantra,6,83000,Diesel,Automatic,18.23,1582,5,841000
BMW,7,6,60000,Diesel,Automatic,14.49,2993,5,3900000
Mahindra,KUV,5,87000,Diesel,Manual,25.32,1198,6,450000
Hyundai,i20,8,75518,Petrol,Manual,18.5,1197,5,390000
Maruti,Baleno,4,13355,Petrol,Manual,21.4,1197,5,565000
Maruti,Ciaz,6,49000,Petrol,Manual,20.73,1373,5,575000
Honda,Jazz,4,26000,Petrol,Manual,18.7,1199,5,700000
Ford,Ecosport,2,10000,Petrol,Automatic,14.8,1497,5,950000
Maruti,Wagon R,3,27000,Petrol,Automatic,20.51,998,5,550000
Maruti,Ignis,4,30000,Petrol,Manual,20.89,1197,5,415000
Skoda,Rapid,6,55300,Diesel,Automatic,21.66,1498,5,650000
Maruti,Ertiga,4,23000,Diesel,Manual,25.47,1248,7,899000
Maruti,Wagon R,4,25000,Petrol,Automatic,21.79,998,5,425000
Maruti,Baleno,5,15068,Petrol,Manual,21.4,1197,5,560000
Hyundai,i10,9,69000,LPG,Manual,19,1086,5,295000
Hyundai,Verna,8,97000,Petrol,Manual,17.01,1591,5,510000
Volkswagen,Polo,8,44900,Petrol,Automatic,17.2,1197,5,495000
Hyundai,i10,8,40000,Petrol,Manual,19.81,1086,5,295000
Hyundai,Santro,3,4075,Petrol,Automatic,20.3,1086,5,550000
Jaguar,F-PACE,2,10000,Diesel,Automatic,16.38,1999,5,6300000
Jeep,Compass,4,45212,Diesel,Manual,16.3,1956,5,1598000
Maruti,Ignis,3,10415,Petrol,Manual,20.89,1197,5,491000
Maruti,Wagon R,7,69000,CNG,Manual,33.54,998,5,349000
Hyundai,Grand,5,28854,Petrol,Manual,18.9,1197,5,535000
Maruti,Swift Dzire,4,25000,Diesel,Manual,28.4,1248,5,754000
BMW,3,4,30000,Petrol,Automatic,15.34,1998,5,4000000
BMW,3,8,54000,Diesel,Automatic,18.88,1995,5,1245000
Maruti,Wagon R,12,27000,Petrol,Manual,18.9,998,5,185000
Maruti,Ertiga,3,74000,Diesel,Manual,24.2,1498,7,964000
Hyundai,i20,8,76000,Diesel,Manual,21.9,1396,5,375000
Maruti,Alto,3,23493,Petrol,Manual,24.7,796,5,319000
Volkswagen,Vento,5,37900,Petrol,Automatic,18.19,1197,5,749000
Volkswagen,Vento,9,47123,Petrol,Manual,15.04,1598,5,311000
Renault,KWID,4,29000,Petrol,Automatic,24.04,999,5,400000
Honda,Jazz,4,14000,Petrol,Automatic,18.2,1199,5,680000
Mahindra,XUV500,4,35000,Diesel,Manual,16,2179,7,1395000
Hyundai,i20,11,69000,Petrol,Manual,18.5,1197,5,245000
Mahindra,Scorpio,12,80000,Diesel,Manual,12.05,2179,8,400000
Mahindra,Scorpio,9,65253,Diesel,Manual,12.05,2179,8,448000
Skoda,Rapid,5,78010,Diesel,Automatic,21.66,1498,5,660000
Hyundai,Grand,4,17500,Petrol,Manual,18.9,1197,5,500000
Renault,KWID,5,21000,Petrol,Manual,22.3,799,5,300000
Maruti,Wagon R,6,28000,Petrol,Manual,18.9,998,5,390000
Hyundai,Verna,8,70000,Diesel,Automatic,22.32,1582,5,480000
Datsun,RediGO,3,3200,Petrol,Automatic,23,999,5,346000
Maruti,Celerio,7,56000,CNG,Manual,31.79,998,5,340000
Maruti,Ertiga,6,56400,CNG,Manual,22.8,1373,7,678000
Honda,Amaze,6,190000,Diesel,Manual,25.8,1498,5,295000
Tata,Safari,4,100000,Diesel,Manual,14.1,2179,7,900000
Honda,City,6,24000,Petrol,Automatic,18,1497,5,825000
